Architecture
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	11006	ARCH	1000	01	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	Robert E Trumbour (P)	08/31-12/09	ANXCN 106	 
SR	11007	ARCH	1000	02	WIT	0.000	STUDIO 01 - LAB	WF	01:00 pm-04:50 pm	15	0	15	Robert E Trumbour (P)	08/31-12/09	TBA	 
SR	11008	ARCH	1000	03	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	Robert Cowherd (P)	08/31-12/09	ANXCN 106	 
SR	11009	ARCH	1000	04	WIT	0.000	STUDIO 01 - LAB	WF	01:00 pm-04:50 pm	15	0	15	Robert Cowherd (P)	08/31-12/09	TBA	 
SR	11012	ARCH	1000	05	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	Yuna Kim (P)	08/31-12/09	ANXCN 106	 
SR	11016	ARCH	1000	06	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	0	15	Yuna Kim (P)	08/31-12/09	TBA	 
SR	11020	ARCH	1000	07	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	1	14	Jay H Weber (P)	08/31-12/09	ANXCN 106	 
SR	11023	ARCH	1000	08	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	1	14	Jay H Weber (P)	08/31-12/09	TBA	 
SR	11025	ARCH	1000	09	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	TBA	08/31-12/09	ANXCN 106	 
SR	11027	ARCH	1000	10	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	0	15	TBA	08/31-12/09	TBA	 
SR	11039	ARCH	1000	11	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	TBA	08/31-12/09	ANXCN 106	 
SR	11042	ARCH	1000	12	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	0	15	TBA	08/31-12/09	TBA	 
SR	11044	ARCH	1000	13	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	TBA	08/31-12/09	ANXCN 106	 
SR	11046	ARCH	1000	14	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	0	15	TBA	08/31-12/09	TBA	 
SR	11049	ARCH	1000	15	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	TBA	08/31-12/09	ANXCN 106	 
SR	11051	ARCH	1000	16	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	0	15	TBA	08/31-12/09	TBA	 
SR	11054	ARCH	1000	17	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	TBA	08/31-12/09	ANXCN 106	 
SR	11056	ARCH	1000	18	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	0	15	TBA	08/31-12/09	TBA	 
SR	11072	ARCH	1000	19	WIT	6.000	STUDIO 01	WF	12:00 pm-12:50 pm	15	0	15	TBA	08/31-12/09	ANXCN 106	 
SR	11074	ARCH	1000	20	WIT	0.000/6.000	STUDIO 01-Lab	WF	01:00 pm-04:50 pm	15	0	15	TBA	08/31-12/09	TBA	 
C	11070	ARCH	2000	01	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	14	0	Meliti Dimitra Dikeos (P)	08/31-12/09	ANXNO 009	 
SR	11071	ARCH	2000	02	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	6	8	Lora Kim (P)	08/31-12/09	ANXCN 009	 
C	11073	ARCH	2000	03	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	14	0	Jennifer I Lee Michaliszyn (P)	08/31-12/09	ANXNO 009	 
C	11075	ARCH	2000	04	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	14	0	James P. Allen (P)	08/31-12/09	ANXNO 009	 
SR	11076	ARCH	2000	05	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	8	6	Jacob Wayne Mans (P)	08/31-12/09	ANXNO 009	 
SR	11077	ARCH	2000	06	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	13	1	Christopher M Meyer (P)	08/31-12/09	ANXNO 009	 
SR	11078	ARCH	2000	07	WIT	6.000	STUDIO 03	MWF	01:00 pm-04:50 pm	14	10	4	TBA	08/31-12/09	ANXNO 009	 
SR	11068	ARCH	2100	01	WIT	4.000	HISTORY/THEORY 01	TR	10:00 am-11:50 am	65	63	2	Anne-Catrin Schultz (P)	08/31-12/09	ANXCN 106	 
SR	11069	ARCH	2100	02	WIT	4.000	HISTORY/THEORY 01	TR	10:00 am-11:50 am	65	6	59	TBA	08/31-12/09	ANXCN 106	 
SR	11065	ARCH	2200	01	WIT	4.000	TECHNOLOGY 01	WF	10:00 am-11:50 am	50	45	5	Mark Klopfer (P)	08/31-12/09	ANXCN 106	 
