Architecture
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
C	20773	ARCH	120	01	WIT	6.000	STUDIO 02	W	12:00 pm-12:50 pm	14	15	-1	Meliti Dimitra Dikeos (P)	01/07-04/22	ANXCN 014	 
 	 	 	 	 	 	 	 	F	12:00 pm-12:50 pm	 	 	 	Meliti Dimitra Dikeos (P)	01/07-04/22	ANXCN 106	 
C	20774	ARCH	120	02	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	14	15	-1	Meliti Dimitra Dikeos (P)	01/07-04/22	ANXNO 009	 
C	20775	ARCH	120	03	WIT	6.000	STUDIO 02	W	12:00 pm-12:50 pm	14	16	-2	John S Ellis (P)	01/07-04/22	ANXCN 202	 
 	 	 	 	 	 	 	 	F	12:00 pm-12:50 pm	 	 	 	John S Ellis (P)	01/07-04/22	ANXCN 106	 
C	20776	ARCH	120	04	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	14	16	-2	John S Ellis (P)	01/07-04/22	ANXNO 009	 
C	20777	ARCH	120	05	WIT	6.000	STUDIO 02	W	12:00 pm-12:50 pm	14	14	0	Susana I. Pereira Devoe (P)	01/07-04/22	ANXCN 207	 
 	 	 	 	 	 	 	 	F	12:00 pm-12:50 pm	 	 	 	Susana I. Pereira Devoe (P)	01/07-04/22	ANXCN 106	 
C	20778	ARCH	120	06	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	14	14	0	Susana I. Pereira Devoe (P)	01/07-04/22	ANXNO 009	 
C	20779	ARCH	120	07	WIT	6.000	STUDIO 02	W	12:00 pm-12:50 pm	14	14	0	Sia Herr (P)	01/07-04/22	ANXCN 210	 
 	 	 	 	 	 	 	 	F	12:00 pm-12:50 pm	 	 	 	Sia Herr (P)	01/07-04/22	ANXCN 106	 
C	20780	ARCH	120	08	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	14	14	0	Sia Herr (P)	01/07-04/22	ANXNO 009	 
C	20781	ARCH	120	09	WIT	6.000	STUDIO 02	W	12:00 pm-12:50 pm	14	15	-1	Jay H Weber (P)	01/07-04/22	BEATT 303	 
 	 	 	 	 	 	 	 	F	12:00 pm-12:50 pm	 	 	 	Jay H Weber (P)	01/07-04/22	ANXCN 106	 
C	20782	ARCH	120	10	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	14	15	-1	Jay H Weber (P)	01/07-04/22	ANXNO 009	 
C	20783	ARCH	120	11	WIT	6.000	STUDIO 02	W	12:00 pm-12:50 pm	14	15	-1	Schendy Kernizan (P)	01/07-04/22	BEATT 401	 
 	 	 	 	 	 	 	 	F	12:00 pm-12:50 pm	 	 	 	Schendy Kernizan (P)	01/07-04/22	ANXCN 106	 
C	20784	ARCH	120	12	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	14	15	-1	Schendy Kernizan (P)	01/07-04/22	ANXNO 009	 
C	20785	ARCH	120	13	WIT	6.000	STUDIO 02	W	12:00 pm-12:50 pm	16	17	-1	Lindsey Grace Fortunato (P)	01/07-04/22	BEATT 418	 
 	 	 	 	 	 	 	 	F	12:00 pm-12:50 pm	 	 	 	Lindsey Grace Fortunato (P)	01/07-04/22	ANXCN 106	 
C	20786	ARCH	120	14	WIT	0.000	STUDIO 02 - LAB	WF	01:00 pm-04:50 pm	16	17	-1	Lindsey Grace Fortunato (P)	01/07-04/22	ANXNO 009	 
