Architecture
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	30628	ARCH	184	01	WIT	4.000	DESIGN I: DESIGN PRINCIPLES	TBA	1	0	1	TBA	05/04-08/15	TBA	 
SR	30344	ARCH	195	71	WIT	4.000	CONT DRAW & METH I	M	05:30 pm-09:30 pm	15	1	14	Thomas Lesko (P)	05/04-08/15	TBA	 
C	30374	ARCH	240	01	WIT	6.000	STUDIO 04 (URBANISM)	MWF	01:00 pm-04:50 pm	11	13	-2	Krists Karklins (P)	05/06-08/11	ANXNO 009	 
C	30375	ARCH	240	02	WIT	6.000	STUDIO 04 (URBANISM)	MWF	01:00 pm-04:50 pm	11	13	-2	Kennan Rhyne Rankin (P)	05/06-08/11	ANXNO 009	 
C	30781	ARCH	240	03	WIT	6.000	STUDIO 04 (URBANISM)	MWF	01:00 pm-04:50 pm	11	13	-2	James P. Allen (P)	05/06-08/11	ANXNO 009	 
C	30376	ARCH	250	01	WIT	6.000	STUDIO 04 (EMERGING TECH)	MWF	01:00 pm-04:50 pm	13	14	-1	Troy Nolan Peters (P)	05/06-08/11	ANXNO 009	 
C	30377	ARCH	250	02	WIT	6.000	STUDIO 04 (EMERGING TECH)	MWF	01:00 pm-04:50 pm	13	14	-1	Aaron Joseph Weinert (P)	05/06-08/11	ANXNO 009	 
C	30379	ARCH	260	01	WIT	6.000	STUDIO 04 (ADAPTVE INTRVNTNS)	MWF	01:00 pm-04:50 pm	14	15	-1	Robert E Trumbour (P)	05/06-08/11	ANXNO 009	 
C	30380	ARCH	260	02	WIT	6.000	STUDIO 04 (ADAPTVE INTRVNTNS)	MWF	01:00 pm-04:50 pm	14	14	0	Soo Jin S. Yoo (P)	05/06-08/11	ANXNO 009	 
C	30383	ARCH	260	03	WIT	6.000	STUDIO 04 (ADAPTVE INTRVNTNS)	MWF	01:00 pm-04:50 pm	14	15	-1	Elizabeth Ghiseline (P)	05/06-08/11	ANXNO 009	 
C	30454	ARCH	260	04	WIT	6.000	STUDIO 04 (ADAPTVE INTRVNTNS)	MWF	01:00 pm-04:50 pm	14	14	0	Christopher M Meyer (P)	05/06-08/11	ANXNO 009	 
C	30577	ARCH	265	01	WIT	4.000	HISTORY/THEORY 02	TR	10:00 am-11:50 am	65	65	0	Linda R Weld (P)	05/06-08/11	ANXCN 106	 
SR	30578	ARCH	265	02	WIT	4.000	HISTORY/THEORY 02	TR	10:00 am-11:50 am	65	63	2	TBA	05/06-08/11	ANXCN 106	 
SR	30381	ARCH	267	01	WIT	4.000	TECHNOLOGY 02	MW	10:00 am-11:50 am	65	61	4	Troy Nolan Peters (P)	05/06-08/11	ANXCN 106	 
C	30382	ARCH	267	02	WIT	4.000	TECHNOLOGY 02	MW	10:00 am-11:50 am	65	65	0	Paul M. Fowler (P)	05/06-08/11	ANXCN 106	 
C	30150	ARCH	531	01	WIT	3.000	STRUCTURES II	TR	11:00 am-12:20 pm	28	28	0	Nakisa Alborz (P)	05/06-08/11	TBA	 
SR	30151	ARCH	531	02	WIT	3.000	STRUCTURES II	TR	12:30 pm-01:50 pm	28	26	2	Nakisa Alborz (P)	05/06-08/11	WENTW 214	 
C	30115	ARCH	590	01	WIT	4.000	COLOR RELATIONSHIPS	M	08:00 am-11:50 am	18	18	0	Ann Pitt (P)	05/06-08/11	ANXCN 014	Architecture Elective
C	30116	ARCH	590	02	WIT	4.000	ADVANCED HAND DRAWING FOR ARCHITECTURE - PROJECTIVE GEOMETRY	TR	09:00 am-10:50 am	18	18	0	Sandro Carella (P)	05/06-08/11	WENTW 214	Architecture Elective
C	30117	ARCH	590	03	WIT	4.000	ADVENTURES IN THE VERNACULAR: CLIMATE + CULTURE	TR	09:00 am-10:50 am	18	18	0	Marilyn W. Moedinger (P)	05/06-08/11	ANXCN 105	 
C	30173	ARCH	625	01	WIT	4.000	PROF PRACTICE I: CONTRACT DOCS	W	10:00 am-11:50 am	18	19	-1	Thomas Lesko (P)	05/06-08/11	ANXCN 014	 
 	 	 	 	 	 	 	 	F	10:00 am-11:50 am	 	 	 	Thomas Lesko (P)	05/06-08/11	ANXCN 106	 
C	30174	ARCH	625	02	WIT	4.000	PROF PRACTICE I: CONTRACT DOCS	W	10:00 am-11:50 am	18	19	-1	Manuel Delgado (P)	05/06-08/11	ANXCN 103	 
 	 	 	 	 	 	 	 	F	10:00 am-11:50 am	 	 	 	Manuel Delgado (P)	05/06-08/11	ANXCN 106	 
C	30175	ARCH	625	03	WIT	4.000	PROF PRACTICE I: CONTRACT DOCS	W	10:00 am-11:50 am	18	19	-1	John O'Connell (P)	05/06-08/11	ANXCN 105	 
 	 	 	 	 	 	 	 	F	10:00 am-11:50 am	 	 	 	John O'Connell (P)	05/06-08/11	ANXCN 106	 
C	30176	ARCH	667	01	WIT	6.000	STUDIO VI: COMMUNITY DSN (D&T)	MWF	01:00 pm-04:50 pm	10	10	0	Manuel Delgado (P)	05/06-08/11	ANXNO 200	 
C	30177	ARCH	667	02	WIT	6.000	STUDIO VI: COMMUNITY DSN (D&T)	MWF	01:00 pm-04:50 pm	10	10	0	Margarita Iglesia (P)	05/06-08/11	ANXNO 200	 
C	30178	ARCH	667	03	WIT	6.000	STUDIO VI: COMMUNITY DSN (D&T)	MWF	01:00 pm-04:50 pm	10	10	0	John Ellis (P)	05/06-08/11	ANXNO 200	 
C	30372	ARCH	669	01	WIT	6.000	STUDIO VI: COMMUNITY DSN (D&C)	MWF	01:00 pm-04:50 pm	12	13	-1	Thomas Lesko (P)	05/06-08/11	ANXNO 200	 
C	30373	ARCH	669	02	WIT	6.000	STUDIO VI: COMMUNITY DSN (D&C)	MWF	01:00 pm-04:50 pm	12	12	0	Ann Pitt (P)	05/06-08/11	ANXNO 200	 
Biology
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
SR	30790	BIOL	130	01A	WIT	4.000	CELL & MOLECULAR BIOLOGY	TR	01:00 pm-02:15 pm	16	9	7	Ryan P Rogers (P)	05/06-08/11	TBA	Bioinformatics Minor Course and Biology Minor Course and BCOS Tracked Sci Elec I and Science Elective
SR	30791	BIOL	130	02A	WIT	0.000	CELL & MOLECULAR BIOLOGY-LAB	W	01:00 pm-02:50 pm	16	9	7	Ryan P Rogers (P)	05/06-08/11	TBA	Bioinformatics Minor Course and Biology Minor Course and BCOS Tracked Sci Elec I and Science Elective
SR	30792	BIOL	130	03B	WIT	4.000	CELL & MOLECULAR BIOLOGY	MW	05:00 pm-06:15 pm	12	8	4	Ryan P Rogers (P)	05/06-08/11	TBA	Bioinformatics Minor Course and Biology Minor Course and BCOS Tracked Sci Elec I and Science Elective
SR	30793	BIOL	130	04B	WIT	0.000	CELL & MOLECULAR BIOLOGY-LAB	R	05:00 pm-06:50 pm	12	8	4	Ryan P Rogers (P)	05/06-08/11	TBA	Bioinformatics Minor Course and Biology Minor Course and BCOS Tracked Sci Elec I and Science Elective
SR	30818	BIOL	370	05	WIT	4.000	INDEPENDENT STUDY IN EPIC-L BIOLOGICAL RESEARCH	MWF	10:00 am-11:50 am	10	4	6	Ryan P Rogers (P)	05/06-08/11	IRALL 210	 
Biomedical Engineering
Select	CRN	Subj	Crse	Sec	Cmp	Cred	Title	Days	Time	Cap	Act	Rem	Instructor	Date (MM/DD)	Location	Attribute
C	30802	BMED	370	01	WIT	1.000	MEDICAL SIGNAL PROCESSING-LAB	M	02:00 pm-03:50 pm	17	17	0	Weihui Li (P)	05/06-08/11	TBA	 
SR	30803	BMED	370	02	WIT	1.000	MEDICAL SIGNAL PROCESSING-LAB	T	08:00 am-09:50 am	17	9	8	Weihui Li (P)	05/06-08/11	TBA	 
C	30436	BMED	400	01	WIT	4.000	MEDICAL DEVICES AND SYSTEMS	MWF	02:00 pm-02:50 pm	17	17	0	Jode M Lavine (P)	05/06-08/11	TBA	 
SR	30438	BMED	400	02	WIT	4.000	MEDICAL DEVICES AND SYSTEMS	MWF	03:00 pm-03:50 pm	17	11	6	Jode M Lavine (P)	05/06-08/11	TBA	 
SR	30437	BMED	400	03	WIT	0.000	MEDICAL DEVICES AND SYS - LAB	T	08:00 am-09:50 am	17	14	3	Jode M Lavine (P)	05/06-08/11	IRALL 125	 
SR	30439	BMED	400	04	WIT	0.000	MEDICAL DEVICES AND SYS - LAB	R	08:00 am-09:50 am	17	14	3	Jode M Lavine (P)	05/06-08/11	IRALL 125	 
C	30751	BMED	406	01	WIT	4.000	MEDICAL IMAGING & OPTICS	MWF	08:00 am-08:50 am	15	15	0	TBA	05/06-08/11	TBA	 
C	30752	BMED	406	02	WIT	0.000	MEDICAL IMAGING & OPTICS - LAB	T	08:00 am-09:50 am	15	15	0	TBA	05/06-08/11	IRALL 124	 
C	30753	BMED	406	03	WIT	4.000	MEDICAL IMAGING & OPTICS	MWF	09:00 am-09:50 am	15	17	-2	TBA	05/06-08/11	TBA	 
C	30754	BMED	406	04	WIT	0.000	MEDICAL IMAGING & OPTICS - LAB	R	08:00 am-09:50 am	15	17	-2	TBA	05/06-08/11	IRALL 124	 
C	30755	BMED	406	05	WIT	4.000	MED INFORMATICS&TELEMEDICINE	MWF	10:00 am-10:50 am	15	15	0	TBA	05/06-08/11	TBA	 
C	30756	BMED	406	06	WIT	0.000	MED INFORMATICS&TELEMEDIC -LAB	T	10:00 am-11:50 am	15	15	0	TBA	05/06-08/11	IRALL 125	 
